Source	Author	Title	Description	PublishedAt	URL	coding	coverage
NBC News	Dennis Romero	"'SNL' was always with Trump, its cast members insist"	“Saturday Night Live” borrowed a page from some contemporary politicians by going from being critics of Donald Trump’s to being some of his most ardent supporters.	2024-11-10T06:18:11Z	https://www.nbcnews.com/pop-culture/tv/snl-was-always-trump-cast-members-insist-rcna179481	Cultural Impact	Neutral
Daily Beast	Harry Lambert	Listen to Jeffrey Epstein Spill Intel on Donald Trump’s White House	"Michael Wolff, the explosive chronicler of Donald Trump’s four years in the White House, has released what he says is a recording of Jeffrey Epstein, who..."	2024-10-31T22:00:09Z	https://www.thedailybeast.com/listen-to-jeffrey-epstein-spill-intel-on-donald-trumps-white-house-on-tape-released-by-author-michael-wolff/	Cultural Impact	Negative
NPR	Tom Dreisbach	Trump has made more than 100 threats to prosecute or punish perceived enemies	"An NPR investigation has found that since 2022, Trump has repeatedly threatened to investigate, prosecute, jail or otherwise punish his political opponents, rivals and even private citizens."	2024-10-22T11:00:00Z	https://www.npr.org/2024/10/21/nx-s1-5134924/trump-election-2024-kamala-harris-elizabeth-cheney-threat-civil-liberties	Legal Issues	Neutral
NBC News	"Mike Hixenbaugh and Stephanie Perry, NBC News Exit Poll Desk"	Evangelical leaders celebrate Trump’s victory as a prophecy fulfilled	"Some evangelical Christians see Donald Trump’s presidential win as ordained by God, offering “a divine mandate” in his second term."	2024-11-07T00:32:00Z	https://www.nbcnews.com/politics/2024-election/trump-wins-election-evangelical-christians-celebrate-rcna178946	Cultural Impact	Negative
Yahoo Entertainment	Phil Stewart and Idrees Ali	Trump says he will nominate anti-'woke' Fox News host Pete Hegseth for defense secretary	"U.S. President-elect Donald Trump said on Tuesday he has picked as his secretary of defense Pete Hegseth, a Fox News commentator and veteran who has..."	2024-11-13T00:14:11Z	https://www.yahoo.com/news/trump-says-nominate-fox-news-001411740.html	Election	Negative
CBC News		"Harris rallies with Michelle Obama, Trump courts Arab vote in all-important Michigan"	"Kamala Harris returned to Michigan on Saturday for a rally with former first lady Michelle Obama, the latest in a series of her campaign's high-profile combinations intended to boost turnout among the Democratic Party faithful, as Republican rival Donald Trum…"	2024-10-26T21:37:40Z	https://www.cbc.ca/news/world/harris-trump-michigan-pennsylvania-1.7364854	Election	Negative
Yahoo Entertainment	JILL COLVIN and MICHELLE L. PRICE	Trump's Madison Square Garden event turns into a rally with crude and racist insults	"Donald Trump hosted a rally featuring crude and racist insults at New York's Madison Square Garden on Sunday, turning what his campaign had advertised as the..."	2024-10-27T04:02:21Z	https://www.yahoo.com/news/trump-veers-away-swing-states-040221461.html	Election	Negative
USA Today	"Natalie Neysa Alund, USA TODAY"	"Joe Rogan, Harrison Ford, Megyn Kelly among late celebrity endorsements before Election Day 2024"	"Joe Rogan, Harrison Ford and Megyn Kelly were among the notable figures sharing last-minute endorsements in the U.S. presidential race."	2024-11-05T15:52:19Z	https://www.usatoday.com/story/news/politics/elections/2024/11/05/celebrity-endorsements-election-day-kamala-harris-donald-trump/76062974007/	Election	Negative
Buzzfeed	Matt Stopera	A Cameraman's Extremely Shady Video Showing Donald Trump's Actual Crowd Size Is Going Viral	They knew exactly what they were doing here.	2024-11-04T16:34:27Z	https://www.buzzfeed.com/mjs538/camera-of-trumps-crowd	Cultural Impact	Neutral
NBC News	Matt Dixon	Trump threatens to drown out his closing message in the final days of the election	"Kamala Harris' final events have been far more disciplined, while Donald Trump's have often been eclipsed by his off-the-cuff comments and his allies' crude remarks."	2024-10-29T19:26:31Z	https://www.nbcnews.com/politics/2024-election/trump-threatens-drown-closing-message-final-days-election-rcna177135	Cultural Impact	Neutral
ABC News	Tal Axelrod	Harris revives message around democracy as Trump escalates rhetoric. Will it work?	"Kamala Harris shunted Joe Biden's messaging on democracy when she took over as Democrats' nominee, but now she's reviving attacks amid Donald Trump's escalating rhetoric."	2024-10-18T17:32:12Z	https://abcnews.go.com/Politics/harris-revives-message-democracy-trump-escalates-rhetoric-work/story?id=114908724	Election	Neutral
Associated Press	By STEVE PEOPLES - AP National Political Writer	Two closing arguments show the stark choice between Trump and Harris	"In the shadow of the White House, Kamala Harris is vowing to put country over party. Inside a New York City sports arena, Trump called his Democratic opponent “a train wreck who has destroyed everything in her path.” Trump's allies…"	2024-10-30T00:55:00Z	https://apnews.com/article/election-harris-trump-closing-arguments-070f6f5d72b4419a5d844e77177c2d42	Election	Neutral
Time	TERRY TANG / AP	Central Park Five Sues Trump for ‘Defamatory’ Remarks Made at Presidential Debate	The men formerly known as the Central Park Five before they were exonerated on Monday filed a defamation lawsuit against Republican presidential nominee Donald Trump.	2024-10-21T17:02:49Z	https://time.com/7095639/central-park-five-sues-trump/	Legal Issues	Negative
BBC News		Watch: Trump serves up McDonald’s fries and Harris celebrates birthday	The US presidential candidates continued to campaign across key swing states on Sunday.	2024-10-21T02:32:32Z	https://www.bbc.com/news/videos/cgryevjjlx2o	Election	Neutral
Buzzfeed	Mychal Thompson	Here's How People Are Reacting To Sexyy Red Switching Up Her Endorsement To Kamala Harris Instead Of Donald Trump	"""Get it, Sexyy, get it, Sexyy.""View Entire Post ›"	2024-11-02T18:52:35Z	https://www.buzzfeed.com/mychalthompson/sexyy-red-votes-kamala-harris-not-trump	Election	Neutral
CBC News		Harris casts Trump as threat to democracy in final pitch to voters. Will they listen?	"In the final week before Americans vote, Kamala Harris is highlighting the threat she says Donald Trump poses to U.S. democracy. But some observers, including some Democrats, have questioned whether that should be the focus of the remainder of the presidentia…"	2024-10-31T08:00:00Z	https://www.cbc.ca/news/world/kamala-harris-closing-trump-1.7367797	Election	Negative
Bloomberg	Bloomberg	Trump’s win sparks surprise rally in Indian IT stocks	"Traders analyze US election impact on sectors, Swiggy IPO, IT rally, cyclicals comeback, and Nifty resistance levels."	2024-11-07T04:51:49Z	https://www.bloomberg.com/news/articles/2024-11-07/india-market-buzz-cyclicals-regain-spotlight-as-trump-returns	Economy	Negative
ABC News	Alexandra Hutzler	"As Nov. 5 nears, Trump steps up attempts to recast Jan. 6 violence as 'day of love'"	"Donald Trump, as part of a long effort to recast the events of Jan. 6, 2021, said on Wednesday that it was a ""day of love."""	2024-10-17T19:21:25Z	https://abcnews.go.com/Politics/nov-5-nears-trump-steps-attempts-recast-jan/story?id=114895763	Legal Issues	Neutral
Time	Joey Cappelletti / AP	"At Detroit Rally for Kamala Harris, Eminem Endorses and Obama Raps"	"Voter turnout in Detroit, a longtime Democratic stronghold, will be crucial in determining who wins Michigan, a crucial swing state, in November."	2024-10-23T04:00:00Z	https://time.com/7096316/eminem-barack-obama-kamala-harris-campaign-detroit-michigan/	Election	Neutral
TechCrunch	Aisha Malik	"TikTok launches integration with Lemon8, as US ban looms | TechCrunch"	TikTok announced on Tuesday that users will now be able to directly access Lemon8 with their TikTok account.	2024-11-12T15:33:23Z	https://techcrunch.com/2024/11/12/tiktok-launches-integration-with-lemon8-as-us-ban-looms/	Policies	Neutral
Bloomberg	Bloomberg	"Trump talks Xi, tariffs and aliens in freewheeling Joe Rogan podcast"	"The conversation stretched long enough that Trump ended up hours late for a rally in swing-state Michigan, where hundreds of supporters trickled out of the venue as temperatures dropped while waiting for him to arrive"	2024-10-26T05:36:50Z	https://www.bloomberg.com/news/articles/2024-10-26/trump-talks-xi-tariffs-and-aliens-in-freewheeling-rogan-podcast	Election	Negative
CBC News		"Her family came to the U.S. 20 years ago, undocumented. She's worried Trump will deport them if he wins"	"Republican nominee Donald Trump has pledged to deport millions of undocumented migrants if he wins the U.S. presidential election. A young woman in Arizona tells us what that would mean for her family, who came to the U.S. illegally almost 20 years ago."	2024-10-30T08:00:00Z	https://www.cbc.ca/radio/thecurrent/u-s-election-undocumented-migrants-trump-1.7365827	Cultural Impact	Neutral
The New Yorker	Emily Witt	Door-Knocking in Door County	Emily Witt reports from a bellwether county in Wisconsin that appears evenly divided between Donald Trump and Kamala Harris in the final stretch of the 2024 Presidential election campaign.	2024-10-23T10:00:00Z	https://www.newyorker.com/news/the-lede/door-knocking-in-door-county-wisconsin-2024-election	Polling	Positive
CNN	John Fritze	Former Trump aides are asking for the Supreme Court’s help as their ex-boss eyes the White House	"As former President Donald Trump turns to the final days of his campaign for a second term in the White House, some of his ex-aides are trying to get into..."	2024-10-23T17:55:32Z	https://www.cnn.com/2024/10/23/politics/navarro-meadows-cohen-supreme-court-trump/index.html	Cultural Impact	Neutral
USA Today	"Marina Pitofsky, USA TODAY"	"Election 2024 live updates: Harris, Trump hit Pennsylvania, Georgia; latest polls"	Vice President Kamala Harris and former President Donald Trump are focusing on two pivotal swing states on Wednesday: Georgia and Pennsylvania.	2024-10-23T10:05:07Z	https://www.usatoday.com/story/news/politics/elections/2024/10/23/election-2024-live-updates-harris-trump/75798623007/	Polling	Negative
ABC News	Alexander Mallin	Trump asks judge in Jan. 6 case to delay release of additional immunity filing	Donald Trump's attorneys have asked the judge in his Jan. 6 case to further delay the release of an appendix containing more evidence amassed by the special counsel.	2024-10-17T14:40:38Z	https://abcnews.go.com/US/trump-asks-judge-jan-6-case-delay-release/story?id=114892192	Legal Issues	Neutral
Politico	POLITICO	Who could be in Trump’s next Cabinet? Here are leading contenders.	"Former President Donald Trump, who is in the throes of a tight campaign, has not engaged in formal conversations about a potential Cabinet. But that hasn’t stopped him from spitballing potential contenders during his frequent plane rides to campaign events, o…"	2024-10-21T07:55:34Z	https://www.politico.com/interactives/2024/potential-cabinets/trump-second-term-cabinet/	Election	Neutral
New York Magazine	Ben Jacobs	The Evolution of the Trump Rally	"Donald Trump’s decade of political rallies are rarely boring, always changing, and essential to understanding his appeal."	2024-11-04T10:00:04Z	http://nymag.com/intelligencer/article/trump-rally-evolution-2024-election.html	Cultural Impact	Neutral
Fortune	Alena Botros	"Billionaire Mark Cuban says strong, intelligent women intimidate Donald Trump and he doesn’t like to be challenged by them"	"After claiming that you’ll never see Trump around strong and intelligent women and that they intimidate him, Cuban clarified his comments—and Trump pushed back."	2024-11-01T17:51:15Z	https://fortune.com/2024/11/01/mark-cuban-donald-trump-strong-intelligent-women-kamala-harris/	Cultural Impact	Neutral
New York Magazine	Jonathan Chait	The Case for Kamala Harris Over Donald Trump Is Totally Obvious	"Ross Douthat argues that the choice for president is not obvious. He focuses on a series of issues where the left has made mistakes, failing to recognize that Trump’s position on all these things is much worse."	2024-11-04T15:16:02Z	http://nymag.com/intelligencer/article/the-case-for-kamala-harris-over-trump-is-totally-obvious.html	Cultural Impact	Negative
Gizmodo.com	Todd Feathers	The Biden Administration Touts Its Big Year in AI	"On the anniversary of President Biden's executive order on AI, the White House says it has met all its year-one goals."	2024-10-30T17:50:32Z	https://gizmodo.com/the-biden-administration-touts-its-big-year-in-ai-2000518407	Policies	Positive
NBC News	NBC News	Trump and Harris hold dueling events in Texas	The latest news and live updates on the 2024 election. Follow Donald Trump and Kamala Harris in Texas and Barack Obama and JD Vance in North Carolina.	2024-10-25T11:22:04Z	https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-election-live-updates-rcna176309	Election	Negative
USA Today	"Phillip M. Bailey, USA TODAY"	Kamala Harris scheduled to deliver 2024 campaign 'closing argument' at National Mall	"Vice President Kamala Harris plans to make her 'closing argument' against her 2024 rival, former President Donald Trump."	2024-10-23T23:22:53Z	https://www.usatoday.com/story/news/politics/elections/2024/10/23/harris-closing-argument-national-mall-2024-campaign/75814840007/	Election	Neutral
NBC News	Shannon Pettypiece	What Trump's return to the White House could mean for the economy and taxes	Voter frustration with their economic lives was central in propelling Donald Trump to a second term.	2024-11-06T15:31:27Z	https://www.nbcnews.com/politics/2024-election/trumps-return-white-house-mean-economy-taxes-rcna177690	Economy	Neutral
New York Magazine	John Herrman	Will Donald Trump Save TikTok?	"Donald Trump has had a self-serving change of heart about TikTok, and the app’s best chance of survival is now the man who once tried to ban it."	2024-11-13T11:00:51Z	http://nymag.com/intelligencer/article/tiktoks-survival-depends-donald-trump.html	Policies	Neutral
Fox News	Danielle Wallace	"Melania Trump posts photo of son Barron, 18, voting for the 1st time in election with father at top of ticket"	"Barron Trump, 18, voted for the first time, and for his father, now President-Elect Trump, according to his mother, Melania Trump, who shared a photo on X."	2024-11-06T16:51:03Z	https://www.foxnews.com/politics/melania-trump-posts-photo-son-barron-18-voting-1st-time-election-father-top-ticket	Election	Negative
CNET	Bree Fowler	Election 2024: Disinformation Didn't Keep Voters From the Polls	"Voters made their voices heard while Trump, Russia and others continued to push lies bent on undermining the election process."	2024-11-06T06:02:42Z	https://www.cnet.com/news/politics/election-2024-disinformation-didnt-keep-voters-from-the-polls/	Election	Negative
Wired	Makena Kelly	Donald Trump's Win Cements a New Era for Campaigning Online	"On the ground, the Trump campaign was at a disadvantage to Kamala Harris’s massive canvassing operations. But many misunderstood the power—and purpose—of influencer marketing campaigns."	2024-11-06T21:06:21Z	https://www.wired.com/story/donald-trump-online-campaign-era/	Election	Neutral
Associated Press	ERIC TUCKER and LARRY NEUMEISTER Associated Press	Justice Department brings criminal charges in thwarted Iranian plot to kill Trump	A criminal complaint alleges that an official in Iran’s paramilitary Revolutionary Guard instructed a contact to put together a plan to surveil and ultimately kill President-elect Donald Trump.	2024-11-08T17:15:00Z	https://apnews.com/article/iran-fbi-justice-department-iran-83cff84a7d65901a058ad6f41a564bdb	Legal Issues	Neutral
CBS News	CBSNews	Sri Lanka deploys troops in popular surfing town after threat warnings	Sri Lanka increased security around a Jewish community center in Arugam Bay after the U.S. and Israel warned of potential threats to popular tourist...	2024-10-23T19:28:09Z	https://www.cbsnews.com/news/jewish-community-center-arugam-bay-sri-lanka-possible-attack/?ftag=YHF4eb9d17	Legal Issues	Negative
New York Magazine	Nia Prater	All the Top Trump Officials Warning Against Voting for Him	"John Kelly, Jim Matthis, and others who clashed with Donald Trump during his administration are sounding the alarm about a possible second term."	2024-10-23T20:55:11Z	http://nymag.com/intelligencer/article/john-kelly-esper-pence-warn-against-voting-trump.html	Election	Neutral
ABC News	"Gabriella Abdul-Hakim, Will McDuffie, Lalee Ibssa, Isabella Murray, Kelsey Walsh, Soo Rin Kim"	Trump mocks Harris' story from behind the fryer at McDonald's	Former President Donald Trump worked the fryer at a McDonald's on Sunday as he continues to mock his Democratic opponent's claims she worked at the fast food restaurant.	2024-10-20T21:42:09Z	https://abcnews.go.com/Politics/trump-mocks-harris-story-fryer-mcdonalds/story?id=114971804	Election	Neutral
Business Insider	"Robert Leslie,Teresa Zhang,Sarah Wyman"	How election polls are actually getting better	"When pollsters failed to see the surge of support for Donald Trump in 2016 and 2020, it seemed like a low point for the political survey industry."	2024-10-18T14:56:40Z	https://www.businessinsider.com/how-election-polls-are-actually-getting-better-2024-10	Polling	Negative
NPR	Brittney Melton	"The 2 paths deciding the presidency. And, California could determine House control"	"Former President Donald Trump and Vice President Harris are taking on vastly different approaches to their campaigns as Election Day nears. And, California could determine who controls the House."	2024-10-23T11:44:51Z	https://www.npr.org/2024/10/23/g-s1-29477/up-first-newsletter-donald-trump-kamala-harris-campaign-approach-california-house	Election	Neutral
Financial Post	Pamela Heaven	Posthaste: Why the great Trump stock rally might not be what it seems	"Stocks have soared since Donald Trump was elected, but some say the run-up has more to do with bubbles than policy. Find out more"	2024-11-12T12:59:49Z	https://financialpost.com/news/trump-stock-rally-may-not-be-what-it-seems	Economy	Neutral
NPR	Brittney Melton	Harris vies for GOP votes while Trump courts Latinos in the race for the White House	"Vice President Harris worked to woo Republican voters yesterday with an interview on Fox News and a speech in Pennsylvania. Meanwhile, Trump worked to gain the Latino vote at a Univision town hall."	2024-10-17T11:41:43Z	https://www.npr.org/2024/10/17/g-s1-28681/up-first-newsletter-kamala-harris-gop-voters-donald-trump-latino-voters	Election	Negative
USA Today	"Daniel de Visé, USA TODAY"	Stocks soared on news of Trump's election. Bonds sank. Here's why.	Stocks and bonds went in different directions as Donald Trump emerged victorious in the 2024 election.	2024-11-09T10:09:48Z	https://www.usatoday.com/story/money/2024/11/09/trump-win-bond-market/76137769007/	Economy	Negative
BBC News		US cuts interest rates as Trump election raises uncertainty	Donald Trump's plans for tax cuts and tariffs raise questions about much further the Fed might cut.	2024-11-07T19:15:29Z	https://www.bbc.com/news/articles/cn4v7vwgqj0o	Economy	Negative
CBS News	Aimee Picchi	Trump says he won't sell DJT stock and calls for probe into short sellers	"Donald Trump reiterated he doesn't intend to sell his stock in Trump Media, and called for an investigation into short sellers."	2024-11-08T19:22:08Z	https://www.cbsnews.com/news/trump-djt-stock-will-not-sell-shares-investigation-truth-social/	Economy	Neutral
The Verge	Lauren Feiner	What a second Trump presidency means for tech	"Donald Trump’s second term will lead to changes for AI, crypto, and EV policy. But for other tech policies like antitrust and the TikTok ban, the impact is less clear."	2024-11-08T17:00:54Z	https://www.theverge.com/2024/11/8/24291333/second-trump-tech-policy-antitrust-ai-crypto	Policies	Neutral
ABC News	Alexander Mallin	'Central Park 5' members sue Donald Trump over debate comments	"Members of the ""Central Park Five"" filed a defamation suit against Trump on Monday, accusing him of spreading ""false, misleading and defamatory"" statements."	2024-10-21T16:02:08Z	https://abcnews.go.com/US/central-park-five-trump-lawsuit/story?id=114994231	Legal Issues	Neutral
Yahoo Entertainment	"JILL COLVIN, DARLENE SUPERVILLE, BILL BARROW and JONATHAN J. COOPER"	Trump talks about reporters being shot and says he shouldn't have left White House after 2020 loss	"Donald Trump gave a profane and conspiracy-laden speech two days before the presidential election, talking about reporters being shot and suggesting he..."	2024-11-03T18:45:46Z	https://www.yahoo.com/news/harris-goes-church-while-trump-184546303.html	Cultural Impact	Neutral
Time	Brian Bennett / New York City	Trump Rally at Madison Square Garden Marked by Racist and Lewd Jokes	"Comedian Tony Hinchcliffe made lewd sexual jokes about Latinos, called Puerto Rico an “island of garbage"" and made a watermelon joke about a Black Trump supporter"	2024-10-27T22:32:15Z	https://time.com/7099205/trump-rally-tony-hinchcliffe/	Cultural Impact	Negative
The New Yorker	The New Yorker	Key Moments from the Donald Trump–Kamala Harris 2024 Presidential Election	"Major milestones in the campaign also involving Joe Biden, J. D. Vance, Tim Walz, Robert F. Kennedy, Jr., debates, assassination attempts, and the party conventions."	2024-11-02T10:00:00Z	https://www.newyorker.com/news/american-chronicles/the-election-season-that-fell-out-of-a-coconut-tree	Election	Neutral
Associated Press	By GISELA SALOMON and GARANCE BURKE - Associated Press	Voting rights groups worry AI models are generating inaccurate and misleading responses in Spanish	"With just days before the presidential election, Latino voters are facing a barrage of targeted ads in Spanish and a new source of political messaging in the artificial intelligence age: chatbots generating unfounded claims in Spanish about voting rights. AI…"	2024-10-31T16:03:09Z	https://apnews.com/article/ai-chatbots-chatgpt-falsehoods-spanish-latino-voters-d4ffabdc006a7c70eece3e28efa3de90	Election	Negative
Financial Post	Bloomberg News	"Election Night Ends With Trump Victory, Surging Markets"	Today on the Big Take: Donald Trump has been elected the 47th president of the United States. The so-called Trump Trade is surging. What’s next?	2024-11-06T15:26:58Z	https://financialpost.com/pmn/business-pmn/election-night-ends-with-trump-victory-surging-markets	Economy	Neutral
The Washington Post	"Julie Zauzmer Weil, (c) 2024 , The Washington Post"	Trump takes a scattershot approach to income-tax reform	"During his campaign for a second term, former president Donald Trump has proposed a string of tax giveaways: He has suggested “no tax on tips,” an idea he..."	2024-10-19T00:36:07Z	https://washingtonpost.com/business/2024/10/18/trump-income-tax-exemptions/	Policies	Positive
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds Rally in Greensboro, North Carolina"	"Former President Donald Trump speaks to supporters at a rally in Greensboro, North Carolina, on Saturday, November 2.
The post Watch Live: Donald Trump Holds Rally in Greensboro, North Carolina appeared first on Breitbart."	2024-11-03T01:13:26Z	https://www.breitbart.com/2024-election/2024/11/02/watch-live-donald-trump-holds-rally-in-greensboro-north-carolina-2/	Election	Negative
Business Insider	Alex Bitter	"Companies are talking about how Election Day will impact them, from slowing beer sales to people flying less"	"The US presidential election is three weeks away, and companies from Delta to Citigroup are flagging how it might affect their businesses."	2024-10-16T10:17:01Z	https://www.businessinsider.com/election-impact-companies-trump-harris-2024-10	Economy	Negative
Gizmodo.com	Lucas Ropek	Elon Tempts Fate With Dominion Voting Conspiracy Theory	"During a stopover for Trump in the pivotal swing state of Pennsylvania, Musk seemed to gesture at debunked conspiracy theories."	2024-10-18T20:05:44Z	https://gizmodo.com/elon-tempts-fate-with-dominion-voting-conspiracy-theory-2000513677	Election	Neutral
ABC News	Alexander Mallin	Special counsel urges judge to reject Trump's bid to toss Jan. 6 obstruction charges	Special counsel Jack Smith is urging the judge in Donald Trump's Jan. 6 case to reject an effort by Trump's attorneys to throw out the case's obstruction-related charges.	2024-10-16T16:33:10Z	https://abcnews.go.com/US/special-counsel-urges-judge-reject-trumps-effort-dismiss/story?id=114855503	Legal Issues	Neutral
ABC News	Isabella Murray	'Blue Dot' in Nebraska draws boldface political names	The Harris and Trump campaigns descended upon Nebraska to deliver a similar message to its 2nd Congressional District: their votes could decide the presidential race.	2024-10-20T18:34:22Z	https://abcnews.go.com/Politics/blue-dot-nebraska-draws-boldface-political-names/story?id=114967525	Election	Negative
Newsweek	Billal Rahman	Buzz Aldrin Endorses Donald Trump	"The second person to walk on the moon endorsed Donald Trump's bid for the White House, in a blow for Vice President Kamala Harris."	2024-10-30T18:02:38Z	https://www.newsweek.com/buzz-aldrin-endorses-donald-trump-presidential-election-1977470	Election	Neutral
Wired	Jake Lahut	Workers Say They Were Tricked and Threatened as Part of Elon Musk’s Get-Out-the-Vote Effort	"America PAC door knockers were flown to Michigan, driven in the back of a U-Haul, and told they’d have to pay hotel bills unless they met unrealistic quotas. One was surprised they were working to elect Donald Trump."	2024-10-30T21:32:38Z	https://www.wired.com/story/elon-musk-america-pac-blitz-canvassing-michigan-uhaul/	Legal Issues	Neutral
ABC News	ABC News	WATCH: Trump suggests he can’t lose fair election	"Former President Donald Trump cast doubt on the election results if he loses and falsely questioned Vice President Kamala Harris' racial and ethnic identity during an interview with the ""PBD Podcast."""	2024-10-18T12:01:46Z	https://abcnews.go.com/GMA/News/video/trump-suggests-lose-fair-election-114920561	Election	Negative
The Verge	Elizabeth Lopatto	The future of crypto regulation comes down to one unpopular man	"As part of his overtures to the crypto industry, Donald Trump has promised to fire embattled SEC chair Gary Gensler on ‘day one.’"	2024-10-29T13:00:00Z	https://www.theverge.com/24280387/gary-gensler-sec-chair-presidential-election-2024	Economy	Negative
Wired	James Fallows	"After the Election, California (Yes, That Hellscape) Will Keep Moving the World Forward No Matter What"	"The state has been written off as a woke wasteland. But it's still inventing the future on a bunch of frontiers nobody's talking about. Even if Trump wins, it will remain a golden, global example."	2024-10-31T10:00:00Z	https://www.wired.com/story/california-will-keep-moving-the-world-forward/	Policies	Positive
Daily Beast	Mary Ann Akers	Melania Trump Tries Cheek-Kissing Her Way Back to the White House	"Donald Trump’s October Surprise arrived at Madison Square Garden Sunday night in the flesh: his wife, the notoriously aloof former first lady, Melania Trump,..."	2024-10-28T00:18:55Z	https://www.thedailybeast.com/melania-trump-finally-joins-her-husband-on-the-campaign-trail-at-madison-square-garden/	Election	Negative
CBS News	Brit McCandless Farmer	How Donald Trump won	"Across the country, voters shifted to the right, making Donald Trump the first Republican president in 20 years to win the popular vote. CBS News pollster Anthony Salvanto explains why."	2024-11-11T04:56:22Z	https://www.cbsnews.com/news/factors-that-led-to-donald-trump-victory-60-minutes/	Election	Neutral
Time	Philip Elliott / Detroit	"In a Tight Michigan Senate Race, Both Sides Target Split-Ticket Voters"	"Democrat Elissa Slotkin says she needs ""Trump-Slotkin voters"" to beat Republican Mike Rogers in a Senate race that's closer than expected"	2024-10-22T20:01:10Z	https://time.com/7095874/michigan-election-senate-slotkin/	Polling	Negative
TechCrunch	Sarah Perez	Vinod Khosla calls out Trump's 'depraved values' and Musk's role in spreading misinformation | TechCrunch	"Storied investor Vinod Khosla, founder and partner at Khosla Ventures, and more recently one of the first checks into OpenAI veered off topic during a"	2024-10-28T21:59:12Z	https://techcrunch.com/2024/10/28/vinod-khosla-calls-out-trumps-depraved-values-and-musks-role-in-spreading-misinformation/	Cultural Impact	Neutral
The New Yorker	John Cassidy	The Economic Philosophy of Donald Harris	"John Cassidy writes about Vice-President Kamala Harris’s father, Donald Harris, an economist who insists that Donald Trump’s Presidential campaign has caricatured him as a Marxist."	2024-11-02T10:00:00Z	https://www.newyorker.com/news/the-weekend-essay/the-economic-philosophy-of-donald-harris	Economy	Neutral
Financial Post	Bloomberg News	The Trump Trade: Why Wall Street Is Betting on a Trump Win	Today on the Big Take podcast: Most major polls show Kamala Harris and Donald Trump in a toss-up. But markets seem convinced Trump will win.	2024-10-28T23:01:10Z	https://financialpost.com/pmn/business-pmn/the-trump-trade-why-wall-street-is-betting-on-a-trump-win	Economy	Positive
The Atlantic	Megan Garber	Welcome to the Trolligarchy	"When Donald Trump and Elon Musk can turn death threats into punch lines, the joke is on the rest of us—and that’s the point."	2024-10-23T17:12:00Z	https://www.theatlantic.com/culture/archive/2024/10/trolligarchy-trump-musk-jokes-propaganda/680345/	Cultural Impact	Neutral
NPR	Domenico Montanaro	These swing-state counties are key to understanding the presidential race	These counties will help tell the story of how either former President Donald Trump or Vice President Kamala Harris will become the next president.	2024-10-27T09:00:00Z	https://www.npr.org/2024/10/27/nx-s1-5164527/swing-state-counties-election-harris-trump	Polling	Negative
Wired	Aarian Marshall	Trump Won. What Will Happen to Electric Vehicles?	"Thanks to Elon Musk's influence, the president-elect has waffled on the future of America's electric transition."	2024-11-06T22:19:49Z	https://www.wired.com/story/trump-won-what-happens-to-electric-vehicles-now/	Policies	Negative
CBC News		What would a Trump victory mean to you? Cross Country Checkup wants to know	"Checkup wants to know: What would a Donald Trump victory mean to you? Plus, an AMA about what worries you most about AI?"	2024-11-01T08:11:21Z	https://www.cbc.ca/radio/checkup/cbc-checkup-what-would-trump-victory-mean-to-you-ama-on-artificial-intelligence-1.7369331	Cultural Impact	Negative
USA Today	"Amaris Encinas, USA TODAY"	People react to Vanity Fair cover of Donald Trump after presidential election win	"Vanity Fair's Wednesday cover of Donald Trump sparked discourse online, following his victory over Vice President Kamala Harris on Tuesday."	2024-11-07T21:01:07Z	https://www.usatoday.com/story/news/politics/elections/2024/11/07/donald-trump-vanity-fair-cover/76112602007/	Cultural Impact	Negative
Yahoo Entertainment	JONATHAN J. COOPER	Trump couldn't pronounce 'Assyrians.' The community is happy to be in the spotlight	"It was Donald Trump's mispronunciation that first caught attention.  “Also, we have many Asur-Asians in our room,” Trump said at a weekend rally in Prescott ..."	2024-10-18T17:28:48Z	https://www.yahoo.com/news/trump-couldnt-pronounce-assyrians-community-172848581.html	Cultural Impact	Negative
Politico	Jonathan Martin	Bill Clinton Has a Solution For Harris to Take Down Trump	"In eastern North Carolina, the former president tells voters why the pandemic caused inflation, not Democrats, and prescription-drug prices are on the ballot..."	2024-10-26T11:00:00Z	https://www.politico.com/news/magazine/2024/10/26/bill-clinton-north-carolina-harris-00185596	Election	Neutral
Business Insider	Bryan Metzger	House Republican spurns Trump and writes in Ron DeSantis for president — and himself for VP	"Rep. Thomas Massie of Kentucky also wrote his own name in for vice president. ""I do NOT recommend this,"" he wrote."	2024-10-16T17:47:28Z	https://www.businessinsider.com/house-republican-writes-in-ron-desantis-for-president-spurning-trump-2024-10	Election	Positive
BBC News		Central Park Five sue Trump for defamation over debate claims	"The now-exonerated men allege Trump spoke falsely of their case with ""reckless disregard""."	2024-10-21T16:50:25Z	https://www.bbc.com/news/articles/cdrjrd70286o	Legal Issues	Negative
Fortune	"Raziye Akkoc, AFP"	Trump’s return spurs EU to act—but will European leaders heed Draghi’s €800 billion challenge?	"Confronted with the return of Donald Trump, EU leaders are set to commit to deeply reform Europe's economy."	2024-11-08T10:11:21Z	https://fortune.com/europe/2024/11/08/eu-us-invest-800-billion-mario-draghi/	Economy	Neutral
